T57: ['S101', 'S300', 'S139', 'S158590', 'S31570', 'T0', 'S00000000', 'S150', 'S0', 'S0', 'S0', 'S0']
T56: ['S0', 'S600', 'S191', 'S151958', 'S31536', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T927: ['S0', 'S40', 'S4', 'S90037', 'S25000', 'T0', 'S00000000', 'S450', 'S0', 'S0', 'S0', 'S0']
T909: ['S0', 'S40', 'S38', 'S160201', 'S31355', 'T0', 'S00000000', 'S550', 'S0', 'S9', 'S0', 'S0']
T912: ['S0', 'S60', 'S37', 'S165080', 'S39861', 'T0', 'S00000000', 'S750', 'S0', 'S9', 'S0', 'S0']
T913: ['S0', 'S60', 'S17', 'S130045', 'S40000', 'T0', 'S00000000', 'S750', 'S0', 'S9', 'S0', 'S0']
T903: ['S0', 'S60', 'S25', 'S140047', 'S20000', 'T0', 'S00000000', 'S300', 'S0', 'S9', 'S0', 'S0']
T427: ['S0', 'S15', 'S6', 'S213013', 'S10000', 'T0', 'S00000000', 'S200', 'S0', 'S9', 'S0', 'S0']
T242: ['S0', 'S40', 'S18', 'S213650', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T15: ['S0', 'S40', 'S34', 'S172337', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S9', 'S0', 'S0']
T901: ['S0', 'S50', 'S38', 'S186585', 'S12505', 'T0', 'S00000000', 'S300', 'S0', 'S8', 'S0', 'S0']
T294: ['S0', 'S30', 'S2', 'S184363', 'S10000', 'T0', 'S00000000', 'S250', 'S0', 'S0', 'S0', 'S0']
T902: ['S0', 'S60', 'S0', 'S155895', 'S0', 'T0', 'S00000000', 'S160', 'S0', 'S8', 'S0', 'S0']
T293: ['S0', 'S30', 'S28', 'S197060', 'S11000', 'T0', 'S00000000', 'S300', 'S0', 'S2', 'S0', 'S0']
T228: ['S0', 'S50', 'S21', 'S298710', 'S0', 'T0', 'S00000000', 'S150', 'S0', 'S1', 'S0', 'S0']
T285: ['S0', 'S30', 'S12', 'S235698', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S2', 'S0', 'S0']
T282: ['S0', 'S30', 'S2', 'S192950', 'S0', 'T0', 'S00000000', 'S400', 'S0', 'S0', 'S0', 'S0']
T505: ['S0', 'S20', 'S14', 'S189736', 'S1250', 'T0', 'S00000000', 'S55', 'S0', 'S0', 'S0', 'S0']
T509: ['S0', 'S20', 'S1', 'S167668', 'S1523', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T517: ['S0', 'S20', 'S5', 'S172223', 'S1981', 'T0', 'S00000000', 'S100', 'S0', 'S0', 'S0', 'S0']
T520: ['S0', 'S30', 'S18', 'S176710', 'S2495', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T524: ['S0', 'S60', 'S26', 'S173083', 'S3010', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T202: ['S0', 'S30', 'S14', 'S175196', 'S0', 'T0', 'S00000000', 'S30', 'S0', 'S0', 'S0', 'S0']
T532: ['S0', 'S90', 'S30', 'S159004', 'S3998', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T237: ['S0', 'S30', 'S27', 'S194339', 'S0', 'T0', 'S00000000', 'S400', 'S0', 'S0', 'S0', 'S0']
T540: ['S0', 'S60', 'S23', 'S193817', 'S5035', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T215: ['S0', 'S30', 'S23', 'S224041', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T561: ['S0', 'S45', 'S30', 'S205748', 'S8030', 'T0', 'S00000000', 'S300', 'S0', 'S0', 'S0', 'S0']
T549: ['S0', 'S100', 'S57', 'S187229', 'S6000', 'T0', 'S00000000', 'S300', 'S0', 'S0', 'S0', 'S0']
T31: ['S0', 'S160', 'S95', 'S237728', 'S8000', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T283: ['S0', 'S40', 'S38', 'S199411', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T284: ['S0', 'S30', 'S14', 'S226280', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T13: ['S0', 'S40', 'S16', 'S184710', 'S0', 'T0', 'S00000000', 'S60', 'S0', 'S0', 'S0', 'S0']
T212: ['S0', 'S30', 'S17', 'S197022', 'S0', 'T0', 'S00000000', 'S30', 'S0', 'S0', 'S0', 'S0']
T213: ['S0', 'S30', 'S29', 'S151668', 'S0', 'T0', 'S00000000', 'S60', 'S0', 'S0', 'S0', 'S0']
T214: ['S0', 'S30', 'S2', 'S184078', 'S0', 'T0', 'S00000000', 'S50', 'S0', 'S0', 'S0', 'S0']
T274: ['S0', 'S40', 'S39', 'S183308', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T501: ['S0', 'S30', 'S5', 'S217440', 'S999', 'T0', 'S00000000', 'S100', 'S0', 'S0', 'S0', 'S0']
T231: ['S0', 'S30', 'S27', 'S172702', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T267: ['S0', 'S40', 'S22', 'S193388', 'S0', 'T0', 'S00000000', 'S60', 'S0', 'S0', 'S0', 'S0']
T220: ['S0', 'S40', 'S4', 'S243674', 'S0', 'T0', 'S00000000', 'S150', 'S0', 'S0', 'S0', 'S0']
T236: ['S0', 'S40', 'S20', 'S229829', 'S0', 'T0', 'S00000000', 'S450', 'S0', 'S0', 'S0', 'S0']
